date,open,high,low,close,volume
2018-10-24,3.236,3.309,3.229,3.245,530668997.0
2018-10-25,3.17,3.266,3.161,3.261,528384552.0
2018-10-26,3.268,3.285,3.203,3.228,449965791.0
2018-10-29,3.219,3.226,3.11,3.131,408324867.0
2018-10-30,3.121,3.202,3.108,3.168,546588034.0
2018-10-31,3.175,3.233,3.164,3.205,379812449.0
2018-11-01,3.241,3.28,3.222,3.228,517841018.0
2018-11-02,3.35,3.378,3.283,3.363,857183305.0
2018-11-05,3.34,3.344,3.286,3.32,451180900.0
2018-11-06,3.308,3.315,3.267,3.299,337071814.0
2018-11-07,3.302,3.336,3.269,3.272,392048742.0
2018-11-08,3.304,3.312,3.265,3.269,312186607.0
2018-11-09,3.251,3.253,3.226,3.228,300641309.0
2018-11-12,3.22,3.269,3.215,3.264,347471891.0
2018-11-13,3.228,3.317,3.223,3.298,449938160.0
2018-11-14,3.288,3.297,3.25,3.258,341269217.0
2018-11-15,3.258,3.302,3.255,3.301,334424552.0
2018-11-16,3.306,3.344,3.278,3.311,415306733.0
2018-11-19,3.31,3.349,3.303,3.348,365042287.0
2018-11-20,3.326,3.334,3.264,3.275,382519118.0
2018-11-21,3.245,3.286,3.243,3.278,289117040.0
2018-11-22,3.285,3.287,3.246,3.269,322232716.0
2018-11-23,3.263,3.266,3.18,3.184,367248738.0
2018-11-26,3.193,3.22,3.174,3.189,426056068.0
2018-11-27,3.201,3.213,3.176,3.186,279828903.0
2018-11-28,3.187,3.238,3.18,3.234,251727744.0
2018-11-29,3.251,3.26,3.2,3.202,203787998.0
2018-11-30,3.2,3.236,3.191,3.235,269127077.0
2018-12-03,3.327,3.339,3.292,3.319,592549035.0
2018-12-04,3.314,3.329,3.302,3.324,220401803.0
2018-12-05,3.288,3.328,3.284,3.309,269428273.0
2018-12-06,3.281,3.281,3.237,3.242,435470972.0
2018-12-07,3.244,3.251,3.234,3.235,192426645.0
2018-12-10,3.213,3.23,3.192,3.205,260128623.0
2018-12-11,3.213,3.221,3.2,3.218,151831888.0
2018-12-12,3.235,3.246,3.217,3.229,209047639.0
2018-12-13,3.235,3.299,3.23,3.284,417723230.0
2018-12-14,3.273,3.274,3.224,3.227,300148418.0
2018-12-17,3.221,3.233,3.197,3.223,350731460.0
2018-12-18,3.207,3.23,3.17,3.183,327863254.0
2018-12-19,3.186,3.193,3.143,3.15,291027768.0
2018-12-20,3.143,3.156,3.103,3.127,346518081.0
2018-12-21,3.119,3.121,3.068,3.088,386498126.0
2018-12-24,3.077,3.098,3.066,3.095,241440710.0
2018-12-25,3.067,3.09,3.026,3.076,403131569.0
2018-12-26,3.067,3.085,3.051,3.059,216459817.0
2018-12-27,3.097,3.102,3.046,3.052,235347582.0
2018-12-28,3.058,3.087,3.046,3.059,389266656.0
